SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,467 Milford Ct,Brentwood,CA,94513,580000,3,2.5,Brentwood,2100,5800,2016,101,276,,Active,June-29-2019 01:00 PM,June-29-2019 04:00 PM,Bridge MLS,40856841,N,Y,37.9487123,-121.6897731
MLS Listing,,Single Family Residential,3 Station Inn Pl,Sacramento,CA,95835,465000,2,2,North Sacramento/Natomas/Del Paso Heights,1888,6787,2003,108,,262,Active,,,MetroList,19013442,N,Y,38.6805778,-121.5182165
MLS Listing,,Condo/Co-op,546 Holly Hock Ct,SAN JOSE,CA,95117,860000,2,2.5,SAN JOSE,1117,579,1985,108,770,347,Active,,,MLSListings,ML81741650,N,Y,37.320858,-121.963598
MLS Listing,,Single Family Residential,5377 Sunrise Meadows Ln,Oakley,CA,94561,425000,3,2.5,Vintage Parkway,1419,3000,1988,110,300,50,Active,,,Bridge MLS,40855550,N,Y,38.0041927,-121.7236315
MLS Listing,,Single Family Residential,807 Valencia Ct,El Dorado Hills,CA,95762,649000,4,3.5,El Dorado Hills,2891,6839,2015,123,,129,Active,,,MetroList,19009401,N,Y,38.6189165,-121.0437451
MLS Listing,,Vacant Land,3550 Bear River Rd,Lincoln,CA,95648,625000,,,East Lincoln Outside City limits,,2269476,,143,,,Active,,,MetroList,19005854,N,Y,38.997334,-121.234941
MLS Listing,,Multi-Family (2-4 Unit),1726 N Brooks Ave,Fresno,CA,93705,419000,10,6,Fresno,4512,13832,1971,148,93,,Active,,,FRESNOMLS,516772,N,Y,36.766339,-119.825459
MLS Listing,,Multi-Family (2-4 Unit),1717 N Fruit Ave,Fresno,CA,93705,254900,4,2.5,Fresno,1856,8505,1951,204,137,,Active,,,FRESNOMLS,514403,N,Y,36.7660044,-119.8178902
MLS Listing,,Vacant Land,1300 Sierra Oaks Cir,Newcastle,CA,95658,774900,,,Newcastle/Zip 95658,,635976,,256,,,Active,,,MetroList,18069923,N,Y,38.865012,-121.125134
MLS Listing,,Vacant Land,2757 Capetanios Dr,El Dorado Hills,CA,95762,439900,,,El Dorado Hills,,55504,,275,,77,Active,,,MetroList,18065224,N,Y,38.684816,-121.092298
MLS Listing,,Single Family Residential,4396 Fremonts Loop,Rescue,CA,95672,875000,4,3.5,"Rescue, Luneman",3307,219978,2003,283,,33,Active,,,MetroList,18063651,N,Y,38.710333,-120.994979
MLS Listing,,Vacant Land,5765 Indigo Run,Reno,NV,89511,287500,,,Reno-South Suburban,,45302,,374,,218,Active,,,NNRMLS,180008303,N,Y,39.405703,-119.832835
MLS Listing,,Vacant Land,4056 Via Grant Dr,Carson City,NV,89703,290000,,,Carson N.W.,,143312,,377,,,Active,,,NNRMLS,180008177,N,Y,39.1937793,-119.8072769
Redfin Data,,Single Family Residential,1368 Delaware St,Berkeley,CA,94702,899000,2,1,Berkeley,922,3300,1947,1,975,,Pre On-Market,,,Coming Soon,37530,N,Y,37.8724737,-122.2852152
Redfin Data,,Single Family Residential,2834 Maria St,Pleasanton,CA,94588,1115000,4,3,Pleasanton,1990,3986,2002,2,560,150,Pre On-Market,,,Coming Soon,34625,N,Y,37.6934416,-121.8553493
Redfin Data,,Condo/Co-op,1535 London Cir,Benicia,CA,94510,475000,2,2,Benicia,1095,,1980,2,434,394,Pre On-Market,,,Coming Soon,37514,N,Y,38.0716139,-122.183203
Redfin Data,,Single Family Residential,30 Gladstone Dr,San Francisco,CA,94112,1100000,3,2,San Francisco,,2304,1942,2,,,Pre On-Market,,,Coming Soon,37463,N,Y,37.7308566,-122.420435
Redfin Data,,Single Family Residential,5485 Rathdrum Way,Antioch,CA,94531,630000,4,3,Antioch,2781,7520,2013,2,227,,Pre On-Market,,,Coming Soon,37460,N,Y,37.9681152,-121.7480198
Redfin Data,,Single Family Residential,1632 Terilyn Ave,San Jose,CA,95122,734888,3,2,San Jose,1040,4901,1959,3,707,,Pre On-Market,,,Coming Soon,37414,N,Y,37.3304761,-121.8406265
Redfin Data,,Single Family Residential,4318 Kingsly Dr,Pittsburg,CA,94565,499888,4,3,Pittsburg,2052,14400,1982,4,244,,Pre On-Market,,,Coming Soon,37317,N,Y,37.9906902,-121.8794308
