RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
Kailua Kona,HI,Hilo,Hawaii County,1500,616500,599900,609999,599000,609999
Myrtle Beach,SC,Myrtle Beach-Conway-North Myrtle Beach,Horry County,1501,190900,189900,195000,188900,194900
Laramie,WY,Laramie,Albany County,1502,249450,259900,264997.5,272500,279450
Fort Lee,NJ,New York-Newark-Jersey City,Bergen County,1503,516500,478000,499000,5.00E+05,509000
Sulphur,LA,Lake Charles,Calcasieu Parish,1504,210450,209900,215000,220840,218950
East Point,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1505,164490,162950,160000,165000,167500
Shrewsbury,MA,Worcester,Worcester County,1506,399000,439655,459900,449000,450865
Manitowoc,WI,Manitowoc,Manitowoc County,1507,117000,118000,119900,127700,129900
Niles,MI,Niles-Benton Harbor,Berrien County,1508,120000,121000,130000,144750,148400
Oro Valley,AZ,Tucson,Pima County,1509,354900,349853,349900,350000,349947.5
Lemoore,CA,Hanford-Corcoran,Kings County,1510,271000,269134,272000,275500,275000
Cedar Falls,IA,Waterloo-Cedar Falls,Black Hawk County,1511,259900,259000,259900,259900,249900
Moncks Corner,SC,Charleston-North Charleston,Berkeley County,1512,264900,265450,272100,274999,273995
Tucker,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1513,254000,275000,279760,282200,281150
Buffalo Grove,IL,Chicago-Naperville-Elgin,Lake County,1514,292500,3.00E+05,317500,309000,317500
Sykesville,MD,Baltimore-Columbia-Towson,Carroll County,1515,419950,425000,427450,422400,4.00E+05
Wildwood,MO,St. Louis,Saint Louis County,1516,452900,457900,456400,449900,450000
Ewing,NJ,Trenton,Mercer County,1517,179822.5,184900,190000,196950,189900
Lake Worth,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1518,254499.5,252900,255000,255000,255000
Lewiston,ME,Lewiston-Auburn,Androscoggin County,1519,150000,149900,149900,159900,165000
Grovetown,GA,Augusta-Richmond County,Columbia County,1520,210000,211475,220000,214900,219900
Yorktown,NY,New York-Newark-Jersey City,Westchester County,1521,424450,429950,445000,474900,489000
Menomonee Falls,WI,Milwaukee-Waukesha-West Allis,Waukesha County,1522,417300,394450,388850,379900,379000
Cape Girardeau,MO,Cape Girardeau,Cape Girardeau County,1523,139700,143900,148250,147500,149900
Clifton Park,NY,Albany-Schenectady-Troy,Saratoga County,1524,339450,339000,339900,339000,334900
Belleville,NJ,New York-Newark-Jersey City,Essex County,1525,279950,279900,289900,299000,299250
Havertown,PA,Philadelphia-Camden-Wilmington,Delaware County,1526,345000,331900,339500,339900,349000
Richfield,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1527,254900,260000,269450,275000,275000
Smithtown,NY,New York-Newark-Jersey City,Suffolk County,1528,549999.5,549000,549999,549900,549000
Hampton,GA,Atlanta-Sandy Springs-Roswell,Henry County,1529,229900,231900,231900,221990,229900
Avon,IN,Indianapolis-Carmel-Anderson,Hendricks County,1530,255000,255945,259000,257450,264777.5
Wildomar,CA,Riverside-San Bernardino-Ontario,Riverside County,1531,425000,419900,424950,430000,429000
Oakville,MO,St. Louis,Saint Louis County,1532,256950,265000,279949.5,264900,259900
East Stroudsburg,PA,East Stroudsburg,Monroe County,1533,161000,159000,168900,169800,169900
Boardman,OH,Youngstown-Warren-Boardman,Mahoning County,1534,119500,119900,122750,121250,120000
San Juan,TX,McAllen-Edinburg-Mission,Hidalgo County,1535,155500,147000,152000,152000,142500
Reidsville,NC,Greensboro-High Point,Rockingham County,1536,129900,127900,125000,128700,126900
Pahrump,NV,Pahrump,Nye County,1537,236685,230000,234900,238999,229900
West Hollywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1538,1249500,1195000,1150000,1137000,1149000
Winona,MN,Winona,Winona County,1539,149900,166500,169900,179900,179900
Carlsbad,NM,Carlsbad-Artesia,Eddy County,1540,210000,210000,225000,230000,230000
Calumet City,IL,Chicago-Naperville-Elgin,Cook County,1541,88500,89000,93500,94000,94900
West Chicago,IL,Chicago-Naperville-Elgin,DuPage County,1542,279250,282500,296948,299000,3.00E+05
Rockwall,TX,Dallas-Fort Worth-Arlington,Rockwall County,1543,349000,346740,345990,349000,345000
Santa Paula,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,1544,489450,479000,499000,499475,510000
Redmond,OR,Bend-Redmond,Deschutes County,1545,324990,325000,341660,349179,350000
Poplar Bluff,MO,Poplar Bluff,Butler County,1546,126900,125000,134950,134900,133000
Pineville,LA,Alexandria,Rapides Parish,1547,179000,184500,191750,197750,198900
Athens,OH,Athens,Athens County,1548,234950,234900,224900,225000,227000
Halethorpe,MD,Baltimore-Columbia-Towson,Baltimore County,1549,235450,225000,229900,230000,234900
Placerville,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,1550,449000,457000,459250,475000,475000
Natick,MA,Boston-Cambridge-Newton,Middlesex County,1551,619900,634950,649000,655000,662450
Temple City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1552,798800,814000,819000,819999.5,837499.5
Cabot,AR,Little Rock-North Little Rock-Conway,Lonoke County,1553,164900,168900,175000,179950,179900
Roseville,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,1554,279900,285000,290000,309000,299900
Franklin,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,1555,289950,289900,299900,324900,295000
Winchester,KY,Lexington-Fayette,Clark County,1556,167900,164950,169900,177000,171450
Torrington,CT,Torrington,Litchfield County,1557,139900,139949,148000,144900,139950
Orangetown,NY,New York-Newark-Jersey City,Rockland County,1558,599000,595000,599000,599000,595000
Commerce,MI,Detroit-Warren-Dearborn,Oakland County,1559,359450,364900,365000,371414,359900
La Vergne,TN,Nashville-Davidson--Murfreesboro--Franklin,Rutherford County,1560,209990,2.00E+05,204990,204994.5,204900
Kearns,UT,Salt Lake City,Salt Lake County,1561,259900,259900,267900,264950,269900
Batavia,OH,Cincinnati,Clermont County,1562,239900,235000,239900,240000,249900
Troy,OH,Dayton,Miami County,1563,169200,168500,171200,182900,193700
New Lenox,IL,Chicago-Naperville-Elgin,Will County,1564,318400,314400,318900,319900,320000
Andover,MA,Boston-Cambridge-Newton,Essex County,1565,694500,699000,698750,699000,699900
Cottage Grove,MN,Minneapolis-St. Paul-Bloomington,Washington County,1566,365875,354990,359900,349900,350000
Chelmsford,MA,Boston-Cambridge-Newton,Middlesex County,1567,399900,399900,404900,404950,429900
Shelbyville,TN,Shelbyville,Bedford County,1568,212000,199900,197900,209445,209999
Villa Rica,GA,Atlanta-Sandy Springs-Roswell,Carroll County,1569,215000,220500,225450,219900,214950
Reisterstown,MD,Baltimore-Columbia-Towson,Baltimore County,1569,327450,325000,329900,343168,352450
Bettendorf,IA,Davenport-Moline-Rock Island,Scott County,1571,364900,364900,366200,358250,344000
Hudsonville,MI,Grand Rapids-Wyoming,Ottawa County,1572,292762.5,294900,289000,293580,291400
Coventry,RI,Providence-Warwick,Kent County,1573,264700,255000,262300,282400,279900
Staunton,VA,Staunton-Waynesboro,Staunton City,1574,215000,212400,227000,220000,231500
Calexico,CA,El Centro,Imperial County,1575,237000,235000,229900,243500,255000
Battle Ground,WA,Portland-Vancouver-Hillsboro,Clark County,1576,425000,424450,423900,419900,412614
